pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Indonésie,101,2013,Viande de Volailles,2734,1874000,,,,,1874000,
Indonésie,101,2013,"Viande, Autre",2735,-4000,,,,,3000,
Indonésie,101,2013,Abats Comestible,2736,453000,,,,,453000,
Indonésie,101,2013,Graisses Animales Crue,2737,57000,,,,,91000,0
Indonésie,101,2013,"Beurre, Ghee",2740,23000,,,,,23000,
Indonésie,101,2013,Crème,2743,14000,,,,,14000,
Indonésie,101,2013,Oeufs,2744,1511000,,188000,103000,,1220000,
Indonésie,101,2013,Miel,2745,2000,,,,,2000,
Indonésie,101,2013,Poissons Eau Douce,2761,2651000,400000,,,,2251000,0
Indonésie,101,2013,Perciform,2762,1126000,,,,,1126000,0
Indonésie,101,2013,Poissons Pelagiques,2763,3328000,432000,,,,2896000,0
Indonésie,101,2013,"Poissons Marins, Autres",2764,136000,,,,,136000,0
Indonésie,101,2013,Crustacés,2765,490000,0,,,,490000,0
Indonésie,101,2013,Cephalopodes,2766,116000,,,,,116000,0
Indonésie,101,2013,"Mollusques, Autres",2767,24000,,,,,24000,0
Indonésie,101,2013,Animaux Aquatiques Autre,2769,28000,,,,,0,28000
Indonésie,101,2013,Plantes Aquatiques,2775,5016000,,,,,0,5016000
Indonésie,101,2013,Huiles de Poissons,2781,17000,17000,,,,0,0
Indonésie,101,2013,Huiles de Foie de Poisso,2782,1000,,,,,1000,0
Indonésie,101,2013,Riz (Eq Blanchi),2805,46875000,1832000,404000,3664000,0,33637000,7338000
Indonésie,101,2013,Lait - Excl Beurre,2848,3863000,65000,,40000,0,3704000,54000
Indonésie,101,2013,Miscellanees,2899,,,,,,,
Iran (République islamique d'),102,2013,Blé,2511,13800000,500000,734000,685000,0,11873000,8000
Iran (République islamique d'),102,2013,Orge,2513,3583000,3249000,118000,179000,0,38000,
Iran (République islamique d'),102,2013,Maïs,2514,5866000,5369000,20000,293000,,184000,
Iran (République islamique d'),102,2013,Seigle,2515,0,,,,,0,
Iran (République islamique d'),102,2013,Avoine,2516,0,,,,,0,
Iran (République islamique d'),102,2013,Millet,2517,11000,9000,1000,1000,,,
Iran (République islamique d'),102,2013,Sorgho,2518,0,0,,0,,,
Iran (République islamique d'),102,2013,"Céréales, Autres",2520,0,0,,,,0,
Iran (République islamique d'),102,2013,Pommes de Terre,2531,4546000,,159000,460000,0,3922000,6000
Iran (République islamique d'),102,2013,Manioc,2532,1000,,,,,0,1000
Iran (République islamique d'),102,2013,Patates douces,2533,0,,,,,,
Iran (République islamique d'),102,2013,Racines nda,2534,0,,,,,0,
Iran (République islamique d'),102,2013,"Sucre, canne",2536,6537000,,,,6537000,,
Iran (République islamique d'),102,2013,"Sucre, betterave",2537,3502000,,,,3502000,,
Iran (République islamique d'),102,2013,Sucre Eq Brut,2542,2168000,,,,,2168000,
Iran (République islamique d'),102,2013,Edulcorants Autres,2543,22000,,,,,12000,10000
Iran (République islamique d'),102,2013,Haricots,2546,192000,,9000,6000,,178000,
Iran (République islamique d'),102,2013,Pois,2547,188000,,,,,188000,
Iran (République islamique d'),102,2013,Légumineuses Autres,2549,504000,,66000,15000,,422000,
Iran (République islamique d'),102,2013,Noix,2551,907000,,,,,907000,
Iran (République islamique d'),102,2013,Soja,2555,306000,,5000,13000,288000,0,
Iran (République islamique d'),102,2013,Arachides Decortiquees,2556,35000,,0,0,,34000,
Iran (République islamique d'),102,2013,Graines de tournesol,2557,89000,,1000,3000,85000,,
Iran (République islamique d'),102,2013,Graines Colza/Moutarde,2558,366000,,,,346000,0,21000
Iran (République islamique d'),102,2013,Graines de coton,2559,115000,,3000,3000,73000,,36000
Iran (République islamique d'),102,2013,Coco (Incl Coprah),2560,15000,,,,,15000,0
Iran (République islamique d'),102,2013,Sésame,2561,36000,,0,1000,35000,,
Iran (République islamique d'),102,2013,Palmistes,2562,0,,,,,,
Iran (République islamique d'),102,2013,Olives,2563,36000,,,,14000,22000,
Iran (République islamique d'),102,2013,"Plantes Oleiferes, Autre",2570,18000,14000,0,0,2000,1000,
Iran (République islamique d'),102,2013,Huile de Soja,2571,633000,,,,,530000,103000
Iran (République islamique d'),102,2013,Huile d'Arachide,2572,0,,,,,0,
Iran (République islamique d'),102,2013,Huile de Tournesol,2573,246000,,,,,232000,14000
Iran (République islamique d'),102,2013,Huile de Colza&Moutarde,2574,140000,,,,,110000,30000
Iran (République islamique d'),102,2013,Huile Graines de Coton,2575,13000,,,,,11000,2000
Iran (République islamique d'),102,2013,Huile de Palmistes,2576,7000,,,,,7000,
Iran (République islamique d'),102,2013,Huile de Palme,2577,1021000,,,,,,1021000
Iran (République islamique d'),102,2013,Huile de Coco,2578,5000,,,,,5000,
Iran (République islamique d'),102,2013,Huile de Sésame,2579,16000,,,,,16000,
Iran (République islamique d'),102,2013,Huile d'Olive,2580,7000,,,,,7000,
Iran (République islamique d'),102,2013,Huile de Germe de Maïs,2582,4000,,,,,4000,
Iran (République islamique d'),102,2013,Huil Plantes Oleif Autr,2586,10000,,,,2000,1000,8000
Iran (République islamique d'),102,2013,Tomates,2601,5165000,,,565000,0,4600000,
Iran (République islamique d'),102,2013,Oignons,2602,2004000,,,205000,,1799000,
Iran (République islamique d'),102,2013,"Légumes, Autres",2605,14644000,,,1455000,0,13225000,
Iran (République islamique d'),102,2013,"Oranges, Mandarines",2611,2082000,,,207000,11000,1863000,
Iran (République islamique d'),102,2013,Citrons & Limes,2612,382000,,,42000,25000,316000,
Iran (République islamique d'),102,2013,Pamplemousse,2613,88000,,,9000,0,79000,
Iran (République islamique d'),102,2013,"Agrumes, Autres",2614,85000,,,8000,39000,39000,
Iran (République islamique d'),102,2013,Bananes,2615,698000,,,21000,,676000,
Iran (République islamique d'),102,2013,Pommes,2617,1609000,,,170000,2000,1437000,
Iran (République islamique d'),102,2013,Ananas,2618,72000,,,,,72000,
Iran (République islamique d'),102,2013,Dattes,2619,1055000,,,115000,,941000,
Iran (République islamique d'),102,2013,Raisin,2620,1681000,,,212000,,1469000,
Iran (République islamique d'),102,2013,"Fruits, Autres",2625,3811000,,,381000,10000,3420000,
Iran (République islamique d'),102,2013,Café,2630,14000,,,,,14000,
Iran (République islamique d'),102,2013,Feve de Cacao,2633,33000,,,,,33000,
Iran (République islamique d'),102,2013,Thé,2635,228000,,,,,228000,
Iran (République islamique d'),102,2013,Poivre,2640,0,,,,,0,
Iran (République islamique d'),102,2013,Piments,2641,5000,,,0,,5000,
Iran (République islamique d'),102,2013,Girofles,2642,0,,,,,0,
Iran (République islamique d'),102,2013,"Épices, Autres",2645,43000,,,,,43000,
Iran (République islamique d'),102,2013,Vin,2655,0,,,,,0,
Iran (République islamique d'),102,2013,Bière,2656,0,,,,,0,
Iran (République islamique d'),102,2013,Boissons Fermentés,2657,1000,,,,,1000,
Iran (République islamique d'),102,2013,Boissons Alcooliques,2658,0,,,,,0,
Iran (République islamique d'),102,2013,"Alcool, non Comestible",2659,5000,,,,,,5000
Iran (République islamique d'),102,2013,Aliments pour enfants,2680,0,,,,,0,
Iran (République islamique d'),102,2013,Viande de Bovins,2731,277000,,,,,277000,
Iran (République islamique d'),102,2013,Viande d'Ovins/Caprins,2732,286000,,,,,286000,
Iran (République islamique d'),102,2013,Viande de Suides,2733,0,,,,,0,
Iran (République islamique d'),102,2013,Viande de Volailles,2734,1959000,,,,,1965000,
Iran (République islamique d'),102,2013,"Viande, Autre",2735,18000,,,,,18000,
Iran (République islamique d'),102,2013,Abats Comestible,2736,99000,,,,,99000,
Iran (République islamique d'),102,2013,Graisses Animales Crue,2737,31000,,,,,18000,13000
Iran (République islamique d'),102,2013,"Beurre, Ghee",2740,206000,,,,,206000,
Iran (République islamique d'),102,2013,Crème,2743,1000,,,,,1000,
Iran (République islamique d'),102,2013,Oeufs,2744,784000,,133000,55000,,597000,
Iran (République islamique d'),102,2013,Miel,2745,74000,,,,,74000,
Iran (République islamique d'),102,2013,Poissons Eau Douce,2761,390000,,,,,390000,0
Iran (République islamique d'),102,2013,Perciform,2762,98000,24000,,,,74000,0
Iran (République islamique d'),102,2013,Poissons Pelagiques,2763,337000,67000,,,,269000,0
Iran (République islamique d'),102,2013,"Poissons Marins, Autres",2764,26000,0,,,,26000,0
Iran (République islamique d'),102,2013,Crustacés,2765,11000,,,,,11000,0
Iran (République islamique d'),102,2013,Cephalopodes,2766,3000,,,,,3000,0
Iran (République islamique d'),102,2013,"Mollusques, Autres",2767,0,,,,,0,0
Iran (République islamique d'),102,2013,Animaux Aquatiques Autre,2769,0,,,,,0,0
Iran (République islamique d'),102,2013,Plantes Aquatiques,2775,0,,,,,0,0
Iran (République islamique d'),102,2013,Huiles de Poissons,2781,0,0,,,,0,0
Iran (République islamique d'),102,2013,Huiles de Foie de Poisso,2782,0,0,,,,0,0
Iran (République islamique d'),102,2013,Riz (Eq Blanchi),2805,2943000,534000,55000,33000,0,2320000,2000
Iran (République islamique d'),102,2013,Lait - Excl Beurre,2848,5851000,1915000,,313000,0,3616000,7000
Iran (République islamique d'),102,2013,Miscellanees,2899,,,,,,,
Iraq,103,2013,Blé,2511,7335000,1400000,285000,642000,,4608000,400000
Iraq,103,2013,Orge,2513,1003000,672000,126000,50000,0,155000,
Iraq,103,2013,Maïs,2514,843000,800000,8000,25000,,10000,
Iraq,103,2013,Seigle,2515,0,0,,,,,
Iraq,103,2013,Avoine,2516,1000,1000,,,,,
Iraq,103,2013,Millet,2517,6000,5000,0,0,,,
Iraq,103,2013,Sorgho,2518,30000,27000,1000,2000,,,
Iraq,103,2013,"Céréales, Autres",2520,0,0,,,,0,
Iraq,103,2013,Pommes de Terre,2531,846000,82000,79000,82000,,603000,
Iraq,103,2013,Racines nda,2534,0,,,,,0,
Iraq,103,2013,"Sucre, canne",2536,8000,,,,8000,0,
Iraq,103,2013,"Sucre, betterave",2537,17000,15000,,,2000,,
Iraq,103,2013,Sucre Eq Brut,2542,637000,,,,,610000,27000
Iraq,103,2013,Edulcorants Autres,2543,40000,,,,,40000,
Iraq,103,2013,Haricots,2546,22000,,0,1000,,22000,
Iraq,103,2013,Pois,2547,14000,,,,,14000,
Iraq,103,2013,Légumineuses Autres,2549,65000,1000,0,2000,,62000,
Iraq,103,2013,Noix,2551,9000,,,0,,9000,
Iraq,103,2013,Soja,2555,0,,0,,0,,
Iraq,103,2013,Arachides Decortiquees,2556,5000,,0,,5000,,
Iraq,103,2013,Graines de tournesol,2557,13000,,0,0,9000,4000,
Iraq,103,2013,Graines de coton,2559,23000,,1000,,22000,,
Iraq,103,2013,Coco (Incl Coprah),2560,2000,,,0,0,2000,
Iraq,103,2013,Sésame,2561,9000,,0,,5000,3000,
Iraq,103,2013,Olives,2563,24000,,,2000,,22000,
Iraq,103,2013,"Plantes Oleiferes, Autre",2570,0,0,0,,0,,
Iraq,103,2013,Huile de Soja,2571,68000,,,,,68000,
Iraq,103,2013,Huile d'Arachide,2572,2000,,,,,2000,
Iraq,103,2013,Huile de Tournesol,2573,329000,,,,,229000,100000
Iraq,103,2013,Huile de Colza&Moutarde,2574,0,,,,,0,
Iraq,103,2013,Huile Graines de Coton,2575,4000,,,,,4000,
Iraq,103,2013,Huile de Palmistes,2576,3000,,,,,3000,
Iraq,103,2013,Huile de Palme,2577,217000,,,,0,185000,32000
Iraq,103,2013,Huile de Coco,2578,0,,,,,0,
Iraq,103,2013,Huile de Sésame,2579,3000,,,,,3000,
Iraq,103,2013,Huile d'Olive,2580,2000,,,,,2000,0
Iraq,103,2013,Huile de Germe de Maïs,2582,18000,,,,,18000,
Iraq,103,2013,Huil Plantes Oleif Autr,2586,196000,,,,,0,196000
Iraq,103,2013,Tomates,2601,1210000,,,101000,,1109000,0
Iraq,103,2013,Oignons,2602,233000,,,23000,,209000,
Iraq,103,2013,"Légumes, Autres",2605,2836000,,,280000,,2556000,
Iraq,103,2013,"Oranges, Mandarines",2611,302000,,,30000,,272000,
Iraq,103,2013,Citrons & Limes,2612,62000,,,6000,,56000,
